num_trajectories,solved,no-solution,timeout,solver-error,domain
1,72,22,6,0,satellite
10,97,3,0,0,satellite
20,100,0,0,0,satellite
30,100,0,0,0,satellite
40,100,0,0,0,satellite
50,100,0,0,0,satellite
60,100,0,0,0,satellite
70,100,0,0,0,satellite
80,100,0,0,0,satellite
1,80,20,0,0,miconic
10,100,0,0,0,miconic
20,100,0,0,0,miconic
30,100,0,0,0,miconic
40,100,0,0,0,miconic
50,100,0,0,0,miconic
60,100,0,0,0,miconic
70,100,0,0,0,miconic
80,100,0,0,0,miconic
1,52,0,48,0,city-car
10,38,0,62,0,city-car
20,35,0,65,0,city-car
30,28,0,72,0,city-car
40,25,0,75,0,city-car
50,25,0,75,0,city-car
60,25,0,75,0,city-car
70,25,0,75,0,city-car
80,25,0,75,0,city-car
1,16,0,20,63,briefcase
10,16,0,29,55,briefcase
20,16,0,31,53,briefcase
30,16,0,26,58,briefcase
40,15,0,27,58,briefcase
50,16,0,26,58,briefcase
60,14,0,22,63,briefcase
70,15,0,26,59,briefcase
80,16,0,25,59,briefcase
